latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-6.60044,-43.74034,322.89,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,294.15,48.05,N
-6.60112,-43.73657,308.52,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,292.61,48.05,N
-6.6018,-43.73285,306.7,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,292.5,47.78,N
-6.60462,-43.74903,353.35,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,297.23,31.97,N
-6.60533,-43.74513,367,0.41,0.61,2026-09-23,0342,N20,high,2.0NRT,315.68,31.97,N
-6.60601,-43.74137,334.39,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,322.89,48.05,N
-6.60669,-43.73763,353.26,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,319.95,48.05,N
-6.60318,-43.75692,305.05,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,291.49,2.38,N
-6.6039,-43.75301,309.34,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,292.57,2.38,N
-6.60804,-43.73021,318.01,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,295,47.78,N
-6.61019,-43.75009,367,0.41,0.61,2026-09-23,0342,N20,high,2.0NRT,308.59,67.52,N
-6.6109,-43.74621,341.91,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,329.52,67.52,N
-6.61158,-43.74244,367,0.41,0.61,2026-09-23,0342,N20,high,2.0NRT,336.83,201.14,N
-6.6136,-43.7313,322.61,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,294.56,94.39,N
-6.60807,-43.76182,304.19,0.42,0.61,2026-09-23,0342,N20,nominal,2.0NRT,290.57,1.02,N
-6.60877,-43.75792,308.76,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,291.7,4.96,N
-6.60948,-43.754,318.32,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,292.71,4.96,N
-6.61428,-43.7276,309.62,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,293.52,12.53,N
-6.61577,-43.75114,367,0.41,0.61,2026-09-23,0342,N20,high,2.0NRT,298.05,67.52,N
-6.61646,-43.74731,346.33,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,324.78,67.52,N
-6.61715,-43.74354,338.9,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,323.69,201.14,N
-6.61782,-43.7398,367,0.41,0.61,2026-09-23,0342,N20,high,2.0NRT,302.08,201.14,N
-6.6185,-43.73609,339.68,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,305.61,94.39,N
-6.61296,-43.76664,304.09,0.42,0.61,2026-09-23,0342,N20,nominal,2.0NRT,290.96,1.02,N
-6.61365,-43.76285,308.14,0.42,0.61,2026-09-23,0342,N20,nominal,2.0NRT,291.56,1.02,N
-6.61436,-43.75895,311.8,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,291.56,4.96,N
-6.61507,-43.75502,316.03,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,292.54,4.96,N
-6.61916,-43.7324,312.26,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,294.78,94.39,N
-6.61923,-43.7639,306.98,0.42,0.61,2026-09-23,0342,N20,nominal,2.0NRT,291.43,2.67,N
-6.61993,-43.76001,309.6,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,291.89,2.08,N
-6.62065,-43.75607,312.32,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,291.96,2.08,N
-6.62134,-43.75221,314.54,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,292.73,2.71,N
-6.62203,-43.74842,318.79,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,293.19,2.71,N
-6.62271,-43.74465,313.38,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,294.38,2.25,N
-6.62338,-43.74092,309.12,0.41,0.61,2026-09-23,0342,N20,nominal,2.0NRT,294.3,2.25,N
-6.57179,-44.15664,340.23,0.44,0.63,2026-09-23,0342,N20,nominal,2.0NRT,291.28,6.14,N
-6.5725,-44.15266,349.51,0.44,0.63,2026-09-23,0342,N20,nominal,2.0NRT,292.93,6.14,N
-6.57323,-44.14864,346.06,0.44,0.62,2026-09-23,0342,N20,nominal,2.0NRT,292.11,3.69,N
-6.57108,-44.16058,304.19,0.44,0.63,2026-09-23,0342,N20,nominal,2.0NRT,290.03,2.07,N
-6.57896,-44.14966,320.92,0.44,0.62,2026-09-23,0342,N20,nominal,2.0NRT,290.04,3.69,N
-6.57824,-44.15369,303.88,0.44,0.63,2026-09-23,0342,N20,nominal,2.0NRT,289.79,6.14,N
-6.57968,-44.14564,305.38,0.44,0.62,2026-09-23,0342,N20,nominal,2.0NRT,289.11,3.69,N
-6.96772,-42.60258,315.29,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,295.81,1.4,N
-6.97287,-42.6035,306.9,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,295.45,1.4,N
-6.97915,-42.59797,317.76,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,295.85,1.86,N
-6.97968,-42.5949,317.73,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,295.59,1.86,N
-6.98021,-42.59188,307.78,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,294.97,1.56,N
-6.98074,-42.58887,315.63,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,295.32,1.56,N
-6.98428,-42.59891,339.38,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,296.17,1.86,N
-6.98482,-42.59586,305.59,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,294.19,1.86,N
-6.98942,-42.59989,319.73,0.34,0.56,2026-09-23,0342,N20,nominal,2.0NRT,293.7,2.47,N
-6.72052,-44.15872,353.54,0.44,0.62,2026-09-23,0342,N20,nominal,2.0NRT,288.61,12.48,N
-6.72125,-44.15461,367,0.44,0.62,2026-09-23,0342,N20,high,2.0NRT,292.84,8.92,N
-6.72198,-44.15051,320.01,0.44,0.62,2026-09-23,0342,N20,nominal,2.0NRT,290.15,8.92,N
